city,city_development_index,education_level,major_discipline,experience,company_size,company_type,last_new_job,training_hours,target,relevent_experience_Has relevent experience,enrolled_university_Full time course,enrolled_university_no_enrollment,gender_Female,gender_Male,NEW1,NEW2
103,0.92,0,5,22,8,3,1,3.58351893845611,1.0,1,0,1,0,1,0,0
40,0.7759999999999999,0,5,15,4,5,5,3.8501476017100584,0.0,0,0,1,0,1,0,0
21,0.624,0,5,5,8,3,0,4.418840607796598,0.0,0,1,0,1,0,0,0
162,0.767,2,5,22,4,1,4,2.0794415416798357,0.0,1,0,1,0,1,10,44
176,0.764,0,5,11,8,3,1,3.1780538303479458,1.0,1,0,0,1,0,0,0
160,0.92,1,4,5,4,1,1,3.1780538303479458,0.0,1,0,1,0,1,4,5
46,0.762,0,5,13,7,5,5,2.8903717578961645,1.0,1,0,1,0,1,0,0
103,0.92,0,5,7,4,5,1,3.828641396489095,1.0,1,0,1,0,1,0,0
103,0.92,0,5,17,3,5,5,4.812184355372417,0.0,1,0,1,1,0,0,0
21,0.624,1,4,2,8,3,0,3.4657359027997265,1.0,0,1,0,1,0,4,2
103,0.92,0,5,5,6,5,1,4.68213122712422,0.0,1,0,1,0,1,0,0
61,0.913,0,5,22,2,5,3,3.1354942159291497,0.0,1,0,1,0,1,0,0
21,0.624,1,4,5,8,3,0,3.258096538021482,0.0,0,1,0,1,0,4,5
114,0.926,0,5,16,0,5,5,2.8903717578961645,0.0,1,0,1,0,1,0,0
103,0.92,0,5,1,4,5,0,4.663439094112067,0.0,1,0,1,1,0,0,0
21,0.624,0,5,2,6,5,2,1.9459101490553132,0.0,1,0,1,1,0,0,0
21,0.624,0,5,7,3,5,0,3.1354942159291497,1.0,1,0,1,1,0,0,0
13,0.8270000000000001,0,0,4,8,3,1,4.882801922586371,1.0,1,0,1,1,0,0,0
159,0.843,2,5,11,1,5,1,4.219507705176107,0.0,1,0,1,0,1,10,22
114,0.926,2,5,11,1,5,2,3.912023005428146,0.0,1,0,1,0,1,10,22
102,0.804,2,5,10,8,3,1,3.871201010907891,0.0,1,0,1,1,0,10,20
40,0.7759999999999999,0,2,0,2,5,1,4.174387269895637,0.0,1,0,1,0,1,0,0
21,0.624,0,5,5,2,5,1,2.5649493574615367,0.0,1,0,1,1,0,0,0
67,0.855,1,4,4,8,3,0,3.091042453358316,0.0,0,0,1,1,0,4,4
21,0.624,0,5,14,5,5,1,4.997212273764115,1.0,1,0,0,1,0,0,0
103,0.92,0,0,5,8,3,2,4.276666119016055,0.0,1,0,1,0,1,0,0
100,0.887,1,4,11,7,5,1,2.0794415416798357,1.0,1,0,1,0,1,4,11
21,0.624,0,5,18,4,1,2,4.219507705176107,1.0,1,0,1,0,1,0,0
103,0.92,0,5,22,1,5,3,3.6888794541139363,0.0,1,0,1,0,1,0,0
103,0.92,0,5,19,6,5,5,4.948759890378168,0.0,1,0,0,0,1,0,0
103,0.92,0,5,5,8,3,1,3.1780538303479458,0.0,0,1,0,1,0,0,0
160,0.92,0,5,22,1,5,5,4.406719247264253,0.0,1,0,1,1,0,0,0
16,0.91,0,1,12,6,5,3,4.976733742420574,0.0,1,0,1,0,1,0,0
103,0.92,0,5,10,0,0,2,5.327876168789581,0.0,1,0,1,0,1,0,0
114,0.926,1,4,1,3,3,1,5.0238805208462765,0.0,0,0,0,0,1,4,1
114,0.926,3,5,22,1,5,4,3.7376696182833684,1.0,1,0,1,0,1,15,66
103,0.92,0,5,12,8,3,4,3.912023005428146,0.0,0,0,1,1,0,0,0
114,0.926,2,5,16,2,4,2,2.6390573296152584,0.0,1,1,0,1,0,10,32
104,0.924,1,4,4,0,5,2,3.58351893845611,0.0,1,0,1,0,1,4,4
21,0.624,2,5,6,4,0,1,4.718498871295094,1.0,1,0,1,1,0,10,12
64,0.6659999999999999,0,3,9,4,5,0,4.68213122712422,0.0,0,0,1,1,0,0,0
21,0.624,2,5,9,6,5,3,1.9459101490553132,1.0,1,0,0,0,1,10,18
21,0.624,2,5,5,8,3,0,3.258096538021482,1.0,0,1,0,1,0,10,10
21,0.624,0,5,5,1,5,0,4.465908118654584,1.0,1,0,1,0,1,0,0
103,0.92,0,5,19,3,4,4,3.9512437185814275,1.0,1,0,1,0,0,0,0
101,0.5579999999999999,0,3,15,8,3,5,2.995732273553991,1.0,1,0,1,0,1,0,0
83,0.923,0,5,11,0,5,1,3.044522437723423,0.0,1,0,1,0,1,0,0
101,0.5579999999999999,0,5,4,8,3,1,4.5217885770490405,1.0,0,0,1,0,1,0,0
64,0.6659999999999999,0,5,10,1,5,2,4.624972813284271,0.0,1,0,1,0,1,0,0
105,0.794,0,2,5,3,5,5,3.258096538021482,0.0,0,0,1,0,1,0,0
104,0.924,2,5,3,7,0,2,1.9459101490553132,0.0,1,0,1,1,0,10,6
114,0.926,1,4,4,3,5,1,3.7612001156935624,0.0,0,1,0,0,1,4,4
104,0.924,0,5,22,1,5,1,3.8066624897703196,0.0,1,0,1,0,1,0,0
73,0.754,0,5,2,4,0,2,3.9512437185814275,0.0,1,1,0,0,1,0,0
103,0.92,0,5,22,8,3,2,2.9444389791664403,0.0,1,0,1,0,1,0,0
162,0.767,0,2,22,1,5,5,3.258096538021482,1.0,1,0,1,0,1,0,0
67,0.855,0,5,6,8,3,1,4.499809670330265,0.0,1,0,0,0,1,0,0
75,0.939,0,5,6,1,5,3,3.2188758248682006,0.0,1,0,1,0,1,0,0
100,0.887,2,2,22,1,5,5,3.871201010907891,0.0,1,0,1,0,1,4,44
93,0.865,0,5,10,4,5,2,4.955827057601261,1.0,1,0,1,0,1,0,0
67,0.855,2,2,4,3,5,4,2.5649493574615367,0.0,0,0,1,0,0,4,8
16,0.91,0,5,15,8,3,5,3.8501476017100584,0.0,1,0,1,0,1,0,0
16,0.91,2,2,14,5,4,1,3.332204510175204,0.0,1,0,1,1,0,4,28
64,0.6659999999999999,0,5,22,8,3,4,3.091042453358316,0.0,1,0,1,0,1,0,0
21,0.624,0,5,0,8,3,0,2.8903717578961645,1.0,0,1,0,0,1,0,0
